objectid,title,description,date,date is approximate,subject,campus_location,buildingid,latitude,longitude,donor,source,identifier,id number,photo number,building number,rights,rightsstatement,format_original,type,format,cdmid,display_template,filename,object_location,image_small,image_thumb
campus00011,"University farms, panoramic view, University of Idaho. [1-7]","1932-01-01 panoramic photograph of University farms in winter. Donor: Hodgins Foto, Moscow.",1932-01-01,y,farms; winter; panoramic views; snow (precipitation); barns,University Farms,universityfarms,46.729654,-117.024232,"Hodgins Foto, Moscow","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-07,18998,7,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,5x7 black and white negative,Image;StillImage,image/jpeg,1086,image,campus00011.jpg,https://objects.lib.uidaho.edu/campus/campus00011.jpg,https://objects.lib.uidaho.edu/campus/small/campus00011_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00011_th.jpg
campus00012,"University farms, panoramic view, University of Idaho. [1-8]",1933 panoramic photograph of University farms. Tennis courts are to the left.,1933,,farms; panoramic views; tennis courts,University Farms,universityfarms,46.729654,-117.024232,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-08,18999,8,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,5x7 black and white negative,Image;StillImage,image/jpeg,1087,image,campus00012.jpg,https://objects.lib.uidaho.edu/campus/campus00012.jpg,https://objects.lib.uidaho.edu/campus/small/campus00012_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00012_th.jpg
campus00013,"University farms, panoramic view, University of Idaho. [1-9]",1933 panoramic photograph of University farms. Greenhouses visible to the right. Donor: Hodgins.,1933,,farms; panoramic views; greenhouses,University Farms,universityfarms,46.729654,-117.024232,Hodgins,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-09,19000,9,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,5x7 black and white negative,Image;StillImage,image/jpeg,1088,image,campus00013.jpg,https://objects.lib.uidaho.edu/campus/campus00013.jpg,https://objects.lib.uidaho.edu/campus/small/campus00013_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00013_th.jpg
campus00014,"Cannons, University of Idaho (1894-193?). [100-1]",1915 photograph of cannons. Administration Building and water tower in background.,1915,y,campuses; buildings; flagpoles; cannons (artillery); flags; trees; water towers,Cannons,campuslandmarks,46.726053,-117.009474,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_100-01,19865,1,100,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,5x7 black and white print,Image;StillImage,image/jpeg,163,image,campus00014.jpg,https://objects.lib.uidaho.edu/campus/campus00014.jpg,https://objects.lib.uidaho.edu/campus/small/campus00014_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00014_th.jpg
campus00015,"Cannons, University of Idaho (1894-193?). [100-2]",1915 photograph of cannons. Spanish American War Memorial and Administration Building in background.,1915,y,campuses; buildings; statues; cannons (artillery); trees,Cannons,campuslandmarks,46.726053,-117.009474,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_100-02,19866,2,100,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,5x7 black and white print,Image;StillImage,image/jpeg,165,image,campus00015.jpg,https://objects.lib.uidaho.edu/campus/campus00015.jpg,https://objects.lib.uidaho.edu/campus/small/campus00015_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00015_th.jpg
campus00016,"Cannons, University of Idaho (1894-193?). [100-4]",1930 photograph of Cannons Administration Building in background.,1930,y,campuses; buildings; flagpoles; cannons (artillery); students; women; group portraits; trees,Cannons,campuslandmarks,46.725924,-117.009513,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_100-04,19868,4,100,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negative,Image;StillImage,image/jpeg,166,image,campus00016.jpg,https://objects.lib.uidaho.edu/campus/campus00016.jpg,https://objects.lib.uidaho.edu/campus/small/campus00016_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00016_th.jpg
campus00017,"Cannons, University of Idaho (1894-193?). Administration lawn. Moscow. [100-5]",1930 photograph of cannons. Kappa Sigma house in background.,1930,y,campuses; buildings; cannons (artillery); flagpoles; flags; students; trees; fraternity houses,Cannons,campuslandmarks,46.725874,-117.010865,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_100-05,19869,5,100,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8x10 black and white print,Image;StillImage,image/jpeg,167,image,campus00017.jpg,https://objects.lib.uidaho.edu/campus/campus00017.jpg,https://objects.lib.uidaho.edu/campus/small/campus00017_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00017_th.jpg
campus00018,"Cannons, University of Idaho (1894-193?). [100-6]",1933 photograph of cannons. Automobiles in background.,1933,y,campuses; cannons (artillery); trees; automobiles,Cannons,campuslandmarks,46.725766,-117.009266,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_100-06,19870,6,100,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white print,Image;StillImage,image/jpeg,168,image,campus00018.jpg,https://objects.lib.uidaho.edu/campus/campus00018.jpg,https://objects.lib.uidaho.edu/campus/small/campus00018_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00018_th.jpg
campus00019,"Cannons, University of Idaho (1894-193?). [100-7]",1934 photograph of the Cannons.,1934,y,cannons (artillery); campuses; trees,Cannons,campuslandmarks,46.725766,-117.009266,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_100-07,19871,7,100,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white film negative,Image;StillImage,image/jpeg,169,image,campus00019.jpg,https://objects.lib.uidaho.edu/campus/campus00019.jpg,https://objects.lib.uidaho.edu/campus/small/campus00019_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00019_th.jpg
campus00020,"Cannons, University of Idaho (1894-193?). Winter scene. [100-8]",1939 photograph of cannons. Snow covered automobiles in background.,1939,y,campuses; snow (precipitation); cannons (artillery); winter; automobiles; buildings; trees,Cannons,campuslandmarks,46.725275,-117.008633,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_100-08,19872,8,100,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x5 black and white print,Image;StillImage,image/jpeg,170,image,campus00020.jpg,https://objects.lib.uidaho.edu/campus/campus00020.jpg,https://objects.lib.uidaho.edu/campus/small/campus00020_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00020_th.jpg
campus00021,"I' Bench, University of Idaho. [101-1]",1950 photograph of the I Bench. Administration Building in background.,1950,y,campuses; benches (furniture); buildings,I Bench,,46.725604,-117.010293,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_101-01,19873,1,101,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white print,Image;StillImage,image/jpeg,171,image,campus00021.jpg,https://objects.lib.uidaho.edu/campus/campus00021.jpg,https://objects.lib.uidaho.edu/campus/small/campus00021_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00021_th.jpg
campus00022,"I' Bench, University of Idaho. Winter scene. [101-2]",1950 photograph of the I Bench. The bench is covered in snow.,1950,y,campuses; benches (furniture); snow (precipitation); trees,I Bench,,46.725604,-117.010293,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_101-02,19874,2,101,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x5 black and white print,Image;StillImage,image/jpeg,172,image,campus00022.jpg,https://objects.lib.uidaho.edu/campus/campus00022.jpg,https://objects.lib.uidaho.edu/campus/small/campus00022_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00022_th.jpg
campus00023,"I' Bench, University of Idaho. [101-3]",1961 photograph of the I Bench. Students on bench and in background next to Administration Building.,1961,,campuses; buildings; benches (furniture); students,I Bench,,46.725604,-117.010293,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_101-03,19875,3,101,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8x10 black and white print,Image;StillImage,image/jpeg,173,image,campus00023.jpg,https://objects.lib.uidaho.edu/campus/campus00023.jpg,https://objects.lib.uidaho.edu/campus/small/campus00023_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00023_th.jpg
campus00024,"I' Bench, University of Idaho. [101-4]","1961 photograph of the I Bench. Two students pose next to the bench, Administration Building in background.",1961,,students; benches (furniture); trees; group portraits,I Bench,,46.725604,-117.010293,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_101-04,19876,4,101,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negative,Image;StillImage,image/jpeg,174,image,campus00024.jpg,https://objects.lib.uidaho.edu/campus/campus00024.jpg,https://objects.lib.uidaho.edu/campus/small/campus00024_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00024_th.jpg
campus00025,"I' Bench, University of Idaho. [101-5]",1961 photograph of the I Bench. Students sit on the bench.,1961,,students; benches (furniture); trees; group portraits,I Bench,,46.725604,-117.010293,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_101-05,19877,5,101,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negative,Image;StillImage,image/jpeg,175,image,campus00025.jpg,https://objects.lib.uidaho.edu/campus/campus00025.jpg,https://objects.lib.uidaho.edu/campus/small/campus00025_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00025_th.jpg
campus00026,"Hello Walk steps, University of Idaho. [102-01b]",1923 photograph of the Hello Walk steps. Administration Building in background.,1923,,stairs; exteriors; buildings,Hello Walk Steps,hellowalkandsteps,46.726819,-117.008504,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_102-01b,19891,01b,102,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x5 black and white print,Image;StillImage,image/jpeg,198,image,campus00026.jpg,https://objects.lib.uidaho.edu/campus/campus00026.jpg,https://objects.lib.uidaho.edu/campus/small/campus00026_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00026_th.jpg
campus00027,"Hello Walk steps, University of Idaho. [102-10]",1930 photograph of the Hello Walk steps. Students on steps.,1930,y,campuses; students; buildings; steps; walkways,Hello Walk Steps,hellowalkandsteps,46.726819,-117.008504,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_102-10,19900,10,102,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,5x7 black and white print,Image;StillImage,image/jpeg,185,image,campus00027.jpg,https://objects.lib.uidaho.edu/campus/campus00027.jpg,https://objects.lib.uidaho.edu/campus/small/campus00027_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00027_th.jpg
campus00028,"Hello Walk steps, University of Idaho. [102-11]",1960 photograph of the Hello Walk steps. Students on steps and trees in background.,1960,y,campuses; students; buildings; steps; walkways; trees,Hello Walk Steps,hellowalkandsteps,46.726819,-117.008504,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_102-11,19901,11,102,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white print,Image;StillImage,image/jpeg,186,image,campus00028.jpg,https://objects.lib.uidaho.edu/campus/campus00028.jpg,https://objects.lib.uidaho.edu/campus/small/campus00028_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00028_th.jpg
campus00029,"Hello Walk steps, University of Idaho. Winter scene. [102-12]",1946 photograph of the Hello Walk steps. Two students approach the steps on a snowy day. Donor: Publications Dept..,1946,y,campuses; students; snow (precipitation); steps; walkways; winter,Hello Walk Steps,hellowalkandsteps,46.726819,-117.008504,Publications Dept.,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_102-12,19902,12,102,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8x10 black and white print,Image;StillImage,image/jpeg,187,image,campus00029.jpg,https://objects.lib.uidaho.edu/campus/campus00029.jpg,https://objects.lib.uidaho.edu/campus/small/campus00029_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00029_th.jpg
campus00030,"Hello Walk steps, University of Idaho. [102-13]",1947 photograph of the Hello Walk steps. Students on steps.,1947,y,campuses; students; steps; walkways; trees,Hello Walk Steps,hellowalkandsteps,46.726819,-117.008504,,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_102-13,19903,13,102,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white print,Image;StillImage,image/jpeg,188,image,campus00030.jpg,https://objects.lib.uidaho.edu/campus/campus00030.jpg,https://objects.lib.uidaho.edu/campus/small/campus00030_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00030_th.jpg
